Hospital Name,State,Hospital Type,Hospital Ownership,Emergency Services,Hospital overall rating,Readmission national comparison,Effectiveness of care national comparison,Timeliness of care national comparison,Patient experience national comparison
"SAINT FRANCIS HOSPITAL SOUTH, LLC",OK,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Same as the national average,Same as the national average,Same as the national average,Same as the national average
ONECORE HEALTH,OK,Acute Care Hospitals,Physician,Yes,,Not Available,Not Available,Not Available,Not Available
MCBRIDE ORTHOPEDIC HOSPITAL,OK,Acute Care Hospitals,Physician,Yes,5.0,Not Available,Same as the national average,Same as the national average,Above the national average
SUMMIT MEDICAL CENTER,OK,Acute Care Hospitals,Physician,Yes,,Not Available,Same as the national average,Not Available,Not Available
ST JOHN OWASSO,OK,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Same as the national average,Same as the national average,Above the national average,Above the national average
"BAILEY MEDICAL CENTER, LLC",OK,Acute Care Hospitals,Proprietary,Yes,4.0,Same as the national average,Above the national average,Same as the national average,Above the national average
ALLIANCEHEALTH SEMINOLE,OK,Acute Care Hospitals,Proprietary,Yes,3.0,Same as the national average,Same as the national average,Above the national average,Same as the national average
PINNACLE SPECIALTY HOSPITAL,OK,Acute Care Hospitals,Proprietary,Yes,,Not Available,Not Available,Not Available,Not Available
"OKLAHOMA HEART HOSPITAL SOUTH, LLC",OK,Acute Care Hospitals,Physician,Yes,3.0,Same as the national average,Same as the national average,Same as the national average,Above the national average
"ST JOHN BROKEN ARROW, INC",OK,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0,Same as the national average,Same as the national average,Same as the national average,Above the national average
INTEGRIS HEALTH EDMOND,OK,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Same as the national average,Same as the national average,Above the national average,Above the national average
ATOKA COUNTY MEDICAL CENTER,OK,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,Below the national average,Not Available,Not Available,Not Available
PRAGUE COMMUNITY HOSPITAL,OK,Critical Access Hospitals,Proprietary,Yes,,Not Available,Not Available,Not Available,Not Available
"MERCY HOSPITAL WATONGA, INC",OK,Critical Access Hospitals,Voluntary non-profit - Church,Yes,,Not Available,Same as the national average,Same as the national average,Not Available
ROGER MILLS MEMORIAL HOSPITAL,OK,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,Not Available,Not Available,Not Available,Not Available
MERCY HOSPITAL TISHOMINGO INC,OK,Critical Access Hospitals,Voluntary non-profit - Church,Yes,3.0,Same as the national average,Same as the national average,Above the national average,Not Available
"JANE PHILLIPS NOWATA HOSPITAL, INC",OK,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,Not Available,Not Available,Not Available,Not Available
MERCY HEALTH LOVE COUNTY,OK,Critical Access Hospitals,Government - Local,Yes,,Not Available,Same as the national average,Same as the national average,Not Available
CIMARRON MEMORIAL HOSPITAL,OK,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,Not Available,Not Available,Not Available,Not Available
"PAWHUSKA HOSPITAL, INC",OK,Critical Access Hospitals,Government - Local,Yes,,Not Available,Not Available,Not Available,Not Available
"MERCY HOSPITAL HEALDTON, INC.",OK,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,Not Available,Same as the national average,Same as the national average,Not Available
JEFFERSON COUNTY HOSPITAL,OK,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,Same as the national average,Not Available,Not Available,Not Available
"ST JOHN SAPULPA, INC",OK,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,Same as the national average,Not Available,Not Available,Not Available
"MERCY HOSPITAL KINGFISHER, INC",OK,Critical Access Hospitals,Voluntary non-profit - Private,Yes,4.0,Same as the national average,Same as the national average,Above the national average,Not Available
THE PHYSICIANS' HOSPITAL IN ANADARKO,OK,Critical Access Hospitals,Voluntary non-profit - Private,Yes,3.0,Same as the national average,Not Available,Not Available,Not Available
STROUD REGIONAL MEDICAL CENTER,OK,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,Not Available,Not Available,Not Available,Not Available
"MERCY HOSPITAL LOGAN COUNTY, INC",OK,Critical Access Hospitals,Voluntary non-profit - Private,Yes,4.0,Same as the national average,Same as the national average,Above the national average,Not Available
FAIRFAX COMMUNITY HOSPITAL,OK,Critical Access Hospitals,Proprietary,Yes,,Same as the national average,Not Available,Not Available,Not Available
MARY HURLEY HOSPITAL,OK,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,Same as the national average,Not Available,Not Available,Not Available
CLEVELAND AREA HOSPITAL,OK,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,Not Available,Not Available,Not Available,Not Available
HOLDENVILLE GENERAL HOSPITAL,OK,Critical Access Hospitals,Government - Hospital District or Authority,Yes,3.0,Same as the national average,Same as the national average,Above the national average,Not Available
BEAVER COUNTY MEMORIAL HOSPITAL,OK,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,Not Available,Not Available,Not Available,Not Available
"WEATHERFORD REGIONAL HOSPITAL, INC OF WEATHERFORD",OK,Critical Access Hospitals,Government - Hospital District or Authority,Yes,3.0,Same as the national average,Not Available,Same as the national average,Not Available
HARPER COUNTY COMMUNITY HOSPITAL,OK,Critical Access Hospitals,Government - Local,Yes,,Not Available,Not Available,Not Available,Not Available
CORDELL MEMORIAL HOSPITAL,OK,Critical Access Hospitals,Government - Local,Yes,,Same as the national average,Not Available,Not Available,Not Available
ALLIANCEHEALTH MADILL,OK,Critical Access Hospitals,Proprietary,Yes,3.0,Same as the national average,Same as the national average,Above the national average,Not Available
OKEENE MUNICIPAL HOSPITAL,OK,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,Not Available,Same as the national average,Same as the national average,Not Available
ARBUCKLE MEMORIAL HOSPITAL AUTHORITY,OK,Critical Access Hospitals,Government - Local,Yes,3.0,Same as the national average,Not Available,Not Available,Above the national average
FAIRVIEW REGIONAL MEDICAL CENTER AUTHORITY,OK,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,Not Available,Not Available,Not Available,Not Available
QUARTZ MOUNTAIN MEDICAL CENTER,OK,Critical Access Hospitals,Proprietary,Yes,,Not Available,Not Available,Not Available,Not Available
DRUMRIGHT REGIONAL HOSPITAL,OK,Critical Access Hospitals,Proprietary,Yes,,Same as the national average,Not Available,Above the national average,Not Available
SEILING MUNICIPAL HOSPITAL,OK,Critical Access Hospitals,Government - Local,Yes,,Not Available,Not Available,Not Available,Not Available
CREEK NATION COMMUNITY HOSPITAL,OK,Critical Access Hospitals,Tribal,Yes,,Same as the national average,Not Available,Not Available,Not Available
CARNEGIE TRI-COUNTY MUNICIPAL HOSPITAL,OK,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,Not Available,Not Available,Not Available,Not Available
HASKELL COUNTY COMMUNITY HOSPITAL,OK,Critical Access Hospitals,Proprietary,Yes,3.0,Same as the national average,Not Available,Not Available,Not Available
NEWMAN MEMORIAL HOSPITAL,OK,Critical Access Hospitals,Government - Local,Yes,,Not Available,Not Available,Not Available,Not Available
EASTERN OKLAHOMA MEDICAL CENTER,OK,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,Not Available,Not Available,Not Available,Not Available
HARMON MEMORIAL HOSPITAL,OK,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,Not Available,Not Available,Not Available,Not Available
J D MCCARTY CENTER FOR CHILDREN,OK,Childrens,Government - State,No,,Not Available,Not Available,Not Available,Not Available
MID-COLUMBIA MEDICAL CENTER,OR,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3.0,Above the national average,Same as the national average,Same as the national average,Same as the national average
ASANTE THREE RIVERS MEDICAL CENTER,OR,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3.0,Same as the national average,Same as the national average,Same as the national average,Same as the national average
PROVIDENCE ST VINCENT MEDICAL CENTER,OR,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3.0,Above the national average,Below the national average,Same as the national average,Above the national average
ASANTE ASHLAND COMMUNITY HOSPITAL,OR,Acute Care Hospitals,Government - Local,Yes,4.0,Same as the national average,Same as the national average,Above the national average,Above the national average
LEGACY EMANUEL MEDICAL CENTER,OR,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Above the national average,Same as the national average,Same as the national average,Same as the national average
OHSU HOSPITAL AND CLINICS,OR,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3.0,Same as the national average,Same as the national average,Below the national average,Above the national average
GOOD SAMARITAN REGIONAL MEDICAL CENTER,OR,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Above the national average,Same as the national average,Same as the national average,Same as the national average
LEGACY GOOD SAMARITAN MEDICAL CENTER,OR,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Below the national average,Same as the national average,Same as the national average,Above the national average
ASANTE ROGUE REGIONAL MEDICAL CENTER,OR,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0,Above the national average,Same as the national average,Above the national average,Same as the national average
MCKENZIE-WILLAMETTE MEDICAL CENTER,OR,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Below the national average,Same as the national average,Same as the national average,Same as the national average
TUALITY COMMUNITY HOSPITAL,OR,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Same as the national average,Same as the national average,Same as the national average,Same as the national average
SAMARITAN ALBANY GENERAL HOSPITAL,OR,Acute Care Hospitals,Voluntary non-profit - Church,Yes,2.0,Same as the national average,Same as the national average,Above the national average,Same as the national average
LEGACY MOUNT HOOD MEDICAL CENTER,OR,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Same as the national average,Same as the national average,Above the national average,Same as the national average
MERCY MEDICAL CENTER,OR,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3.0,Above the national average,Same as the national average,Above the national average,Below the national average
LEGACY SILVERTON MEDICAL CENTER,OR,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Same as the national average,Same as the national average,Same as the national average,Same as the national average
SACRED HEART UNIVERSITY DISTRICT,OR,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Same as the national average,Same as the national average,Same as the national average,Below the national average
PROVIDENCE NEWBERG MEDICAL CENTER,OR,Acute Care Hospitals,Voluntary non-profit - Church,Yes,4.0,Same as the national average,Same as the national average,Same as the national average,Above the national average
PROVIDENCE WILLAMETTE FALLS MEDICAL CENTER,OR,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Same as the national average,Same as the national average,Same as the national average,Same as the national average
ST CHARLES MEDICAL CENTER - REDMOND,OR,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0,Same as the national average,Below the national average,Same as the national average,Above the national average
ST CHARLES MEDICAL CENTER - BEND,OR,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Above the national average,Below the national average,Below the national average,Same as the national average
SKY LAKES MEDICAL CENTER,OR,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Above the national average,Same as the national average,Below the national average,Same as the national average
SALEM HOSPITAL,OR,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3.0,Above the national average,Below the national average,Below the national average,Above the national average
"SAINT ALPHONSUS MEDICAL CENTER - ONTARIO, INC",OR,Acute Care Hospitals,Voluntary non-profit - Church,Yes,4.0,Above the national average,Same as the national average,Same as the national average,Same as the national average
SANTIAM HOSPITAL,OR,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Same as the national average,Same as the national average,Same as the national average,Same as the national average
ADVENTIST MEDICAL CENTER,OR,Acute Care Hospitals,Voluntary non-profit - Church,Yes,3.0,Above the national average,Same as the national average,Same as the national average,Above the national average
PROVIDENCE PORTLAND MEDICAL CENTER,OR,Acute Care Hospitals,Voluntary non-profit - Church,Yes,4.0,Above the national average,Same as the national average,Same as the national average,Above the national average
WILLAMETTE VALLEY MEDICAL CENTER,OR,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Same as the national average,Same as the national average,Above the national average,Above the national average
PROVIDENCE MEDFORD MEDICAL CENTER,OR,Acute Care Hospitals,Voluntary non-profit - Church,Yes,2.0,Same as the national average,Same as the national average,Same as the national average,Below the national average
PROVIDENCE MILWAUKIE HOSPITAL,OR,Acute Care Hospitals,Voluntary non-profit - Church,Yes,3.0,Same as the national average,Same as the national average,Same as the national average,Same as the national average
LEGACY MERIDIAN PARK MEDICAL CENTER,OR,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0,Above the national average,Same as the national average,Same as the national average,Above the national average
BAY AREA HOSPITAL,OR,Acute Care Hospitals,Government - Hospital District or Authority,Yes,1.0,Same as the national average,Below the national average,Same as the national average,Below the national average
KAISER SUNNYSIDE MEDICAL CENTER,OR,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3.0,Not Available,Same as the national average,Not Available,Above the national average
SACRED HEART MEDICAL CENTER - RIVERBEND,OR,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Above the national average,Same as the national average,Same as the national average,Below the national average
KAISER FOUNDATION HOSPITAL - WESTSIDE,OR,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0,Not Available,Same as the national average,Not Available,Above the national average
PEACEHEALTH COTTAGE GROVE COMMUNITY MEDICAL CENTER,OR,Critical Access Hospitals,Voluntary non-profit - Private,Yes,4.0,Same as the national average,Same as the national average,Above the national average,Above the national average
SAMARITAN NORTH LINCOLN HOSPITAL,OR,Critical Access Hospitals,Voluntary non-profit - Private,Yes,3.0,Same as the national average,Same as the national average,Above the national average,Same as the national average
PROVIDENCE SEASIDE HOSPITAL,OR,Critical Access Hospitals,Voluntary non-profit - Church,Yes,4.0,Same as the national average,Same as the national average,Above the national average,Above the national average
SOUTHERN COOS HOSPITAL & HEALTH CENTER,OR,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,Same as the national average,Not Available,Not Available,Not Available
BLUE MOUNTAIN HOSPITAL,OR,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,Not Available,Not Available,Not Available,Not Available
WALLOWA MEMORIAL HOSPITAL,OR,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,Same as the national average,Not Available,Not Available,Above the national average
HARNEY DISTRICT HOSPITAL,OR,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,Not Available,Same as the national average,Same as the national average,Not Available
SALEM HEALTH WEST VALLEY,OR,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,Not Available,Same as the national average,Not Available,Not Available
LAKE DISTRICT HOSPITAL,OR,Critical Access Hospitals,Government - Hospital District or Authority,Yes,3.0,Same as the national average,Same as the national average,Above the national average,Not Available
PIONEER MEMORIAL HOSPITAL,OR,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,Not Available,Not Available,Not Available,Not Available
LOWER UMPQUA HOSPITAL DISTRICT,OR,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,Same as the national average,Not Available,Not Available,Not Available
COQUILLE VALLEY HOSPITAL DISTRICT,OR,Critical Access Hospitals,Government - Hospital District or Authority,Yes,3.0,Same as the national average,Same as the national average,Same as the national average,Above the national average
ST CHARLES PRINEVILLE,OR,Critical Access Hospitals,Voluntary non-profit - Private,Yes,4.0,Same as the national average,Same as the national average,Same as the national average,Same as the national average
SAMARITAN PACIFIC COMMUNITY HOSPITAL,OR,Critical Access Hospitals,Voluntary non-profit - Private,Yes,3.0,Same as the national average,Same as the national average,Above the national average,Same as the national average
"SAINT ALPHONSUS MEDICAL CENTER - BAKER CITY, INC",OR,Critical Access Hospitals,Voluntary non-profit - Church,Yes,4.0,Same as the national average,Not Available,Not Available,Above the national average
PEACE HARBOR MEDICAL CENTER,OR,Critical Access Hospitals,Voluntary non-profit - Church,Yes,3.0,Same as the national average,Same as the national average,Above the national average,Same as the national average
TILLAMOOK REGIONAL MEDICAL CENTER,OR,Critical Access Hospitals,Voluntary non-profit - Church,Yes,3.0,Same as the national average,Not Available,Not Available,Same as the national average
PROVIDENCE HOOD RIVER MEMORIAL HOSPITAL,OR,Critical Access Hospitals,Voluntary non-profit - Church,Yes,4.0,Same as the national average,Same as the national average,Same as the national average,Above the national average
ST ANTHONY HOSPITAL,OR,Critical Access Hospitals,Voluntary non-profit - Church,Yes,4.0,Same as the national average,Not Available,Not Available,Above the national average
COLUMBIA MEMORIAL HOSPITAL,OR,Critical Access Hospitals,Proprietary,Yes,3.0,Same as the national average,Not Available,Not Available,Same as the national average
GRANDE RONDE HOSPITAL,OR,Critical Access Hospitals,Voluntary non-profit - Private,Yes,3.0,Same as the national average,Same as the national average,Same as the national average,Same as the national average
CURRY GENERAL HOSPITAL,OR,Critical Access Hospitals,Government - Hospital District or Authority,Yes,3.0,Same as the national average,Same as the national average,Same as the national average,Not Available
SAMARITAN LEBANON COMMUNITY HOSPITAL,OR,Critical Access Hospitals,Voluntary non-profit - Church,Yes,3.0,Same as the national average,Same as the national average,Same as the national average,Same as the national average
ST CHARLES - MADRAS,OR,Critical Access Hospitals,Voluntary non-profit - Private,Yes,3.0,Same as the national average,Same as the national average,Same as the national average,Not Available
GOOD SHEPHERD MEDICAL CENTER,OR,Critical Access Hospitals,Voluntary non-profit - Private,Yes,3.0,Same as the national average,Same as the national average,Same as the national average,Same as the national average
SHRINERS HOSPITAL FOR CHILDREN-PORTLAND,OR,Childrens,Voluntary non-profit - Private,No,,Not Available,Not Available,Not Available,Not Available
GEISINGER - COMMUNITY MEDICAL CENTER,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Below the national average,Same as the national average,Below the national average,Below the national average
UPMC MCKEESPORT,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Same as the national average,Same as the national average,Same as the national average,Below the national average
GEISINGER - BLOOMSBURG HOSPITAL,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Same as the national average,Same as the national average,Same as the national average,Same as the national average
HOLY SPIRIT HOSPITAL,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0,Above the national average,Same as the national average,Below the national average,Same as the national average
GEISINGER MEDICAL CENTER,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Below the national average,Above the national average,Below the national average,Above the national average
ELLWOOD CITY HOSPITAL,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Same as the national average,Same as the national average,Above the national average,Same as the national average
SAINT VINCENT HOSPITAL,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Above the national average,Above the national average,Above the national average,Below the national average
LANSDALE HOSPITAL,PA,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3.0,Below the national average,Same as the national average,Same as the national average,Above the national average
EVANGELICAL COMMUNITY HOSPITAL,PA,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3.0,Same as the national average,Same as the national average,Below the national average,Above the national average
JAMESON MEMORIAL HOSPITAL,PA,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3.0,Same as the national average,Same as the national average,Above the national average,Below the national average
PALMERTON HOSPITAL,PA,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3.0,Same as the national average,Same as the national average,Same as the national average,Below the national average
KENSINGTON HOSPITAL,PA,Acute Care Hospitals,Voluntary non-profit - Other,No,,Not Available,Not Available,Not Available,Not Available
CHESTNUT HILL HOSPITAL,PA,Acute Care Hospitals,Proprietary,Yes,2.0,Below the national average,Same as the national average,Below the national average,Below the national average
TEMPLE UNIVERSITY HOSPITAL,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Below the national average,Same as the national average,Below the national average,Below the national average
UPMC MERCY,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Below the national average,Same as the national average,Same as the national average,Below the national average
LEHIGH VALLEY HOSPITAL-SCHUYLKILL S. JACKSON STREE,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Below the national average,Same as the national average,Same as the national average,Below the national average
LEHIGH VALLEY HOSPITAL-SCHUYLKILL E. NORWEGIAN STR,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Same as the national average,Same as the national average,Above the national average,Same as the national average
ALLEGHENY VALLEY HOSPITAL,PA,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3.0,Same as the national average,Same as the national average,Above the national average,Below the national average
ST LUKE'S QUAKERTOWN HOSPITAL,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0,Above the national average,Same as the national average,Same as the national average,Same as the national average
HERITAGE VALLEY BEAVER,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Below the national average,Same as the national average,Same as the national average,Same as the national average
HERITAGE VALLEY SEWICKLEY,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Below the national average,Same as the national average,Same as the national average,Above the national average
SOMERSET HOSPITAL,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Same as the national average,Same as the national average,Above the national average,Same as the national average
UNIONTOWN HOSPITAL,PA,Acute Care Hospitals,Voluntary non-profit - Other,Yes,4.0,Above the national average,Same as the national average,Same as the national average,Below the national average
"WASHINGTON HOSPITAL, THE",PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Below the national average,Same as the national average,Above the national average,Same as the national average
READING HOSPITAL,PA,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3.0,Above the national average,Above the national average,Below the national average,Same as the national average
WILLIAMSPORT REGIONAL MEDICAL CENTER,PA,Acute Care Hospitals,Voluntary non-profit - Other,Yes,4.0,Above the national average,Same as the national average,Same as the national average,Above the national average
YORK HOSPITAL,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Above the national average,Same as the national average,Same as the national average,Below the national average
GEISINGER-LEWISTOWN HOSPITAL,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Below the national average,Same as the national average,Same as the national average,Below the national average
ST LUKE'S HOSPITAL BETHLEHEM,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0,Above the national average,Same as the national average,Below the national average,Same as the national average
ALLEGHENY GENERAL HOSPITAL,PA,Acute Care Hospitals,Voluntary non-profit - Other,Yes,1.0,Below the national average,Below the national average,Below the national average,Below the national average
CLEARFIELD HOSPITAL,PA,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3.0,Same as the national average,Same as the national average,Same as the national average,Below the national average
J C BLAIR MEMORIAL HOSPITAL,PA,Acute Care Hospitals,Voluntary non-profit - Other,Yes,4.0,Same as the national average,Same as the national average,Above the national average,Above the national average
GRAND VIEW HOSPITAL,PA,Acute Care Hospitals,Voluntary non-profit - Other,Yes,4.0,Above the national average,Above the national average,Same as the national average,Above the national average
CARLISLE REGIONAL MEDICAL CENTER,PA,Acute Care Hospitals,Proprietary,Yes,3.0,Same as the national average,Same as the national average,Same as the national average,Same as the national average
LANCASTER REGIONAL MEDICAL CENTER,PA,Acute Care Hospitals,Proprietary,Yes,3.0,Same as the national average,Same as the national average,Below the national average,Below the national average
NASON HOSPITAL,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Same as the national average,Below the national average,Above the national average,Above the national average
UPMC HAMOT,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Same as the national average,Same as the national average,Same as the national average,Below the national average
GETTYSBURG HOSPITAL,PA,Acute Care Hospitals,Voluntary non-profit - Other,Yes,4.0,Above the national average,Same as the national average,Same as the national average,Above the national average
GOOD SAMARITAN HOSPITAL,PA,Acute Care Hospitals,Voluntary non-profit - Other,Yes,2.0,Above the national average,Same as the national average,Below the national average,Above the national average
PINNACLE HEALTH HOSPITALS,PA,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3.0,Above the national average,Same as the national average,Below the national average,Above the national average
HEART OF LANCASTER REGIONAL MEDICAL CENTER,PA,Acute Care Hospitals,Proprietary,Yes,3.0,Above the national average,Same as the national average,Same as the national average,Same as the national average
LOWER BUCKS HOSPITAL,PA,Acute Care Hospitals,Proprietary,Yes,3.0,Below the national average,Same as the national average,Above the national average,Below the national average
LOCK HAVEN HOSPITAL,PA,Acute Care Hospitals,Proprietary,Yes,3.0,Same as the national average,Same as the national average,Above the national average,Same as the national average
BERWICK HOSPITAL CENTER,PA,Acute Care Hospitals,Proprietary,Yes,3.0,Same as the national average,Same as the national average,Above the national average,Below the national average
UPMC ALTOONA,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Above the national average,Same as the national average,Same as the national average,Below the national average
BRANDYWINE HOSPITAL,PA,Acute Care Hospitals,Proprietary,Yes,2.0,Below the national average,Same as the national average,Below the national average,Below the national average
ROBERT PACKER HOSPITAL,PA,Acute Care Hospitals,Voluntary non-profit - Other,Yes,2.0,Below the national average,Same as the national average,Same as the national average,Same as the national average
JEANES HOSPITAL,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Below the national average,Same as the national average,Same as the national average,Below the national average
DELAWARE COUNTY MEMORIAL HOSPITAL,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Same as the national average,Same as the national average,Below the national average,Below the national average
SUNBURY COMMUNITY HOSPITAL,PA,Acute Care Hospitals,Proprietary,Yes,3.0,Same as the national average,Same as the national average,Same as the national average,Same as the national average
PENN HIGHLANDS DUBOIS,PA,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3.0,Below the national average,Above the national average,Same as the national average,Below the national average
WEST PENN HOSPITAL,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Same as the national average,Same as the national average,Above the national average,Same as the national average
UPMC NORTHWEST,PA,Acute Care Hospitals,Voluntary non-profit - Other,Yes,4.0,Same as the national average,Same as the national average,Above the national average,Below the national average
CLARION HOSPITAL,PA,Acute Care Hospitals,Voluntary non-profit - Other,Yes,2.0,Same as the national average,Same as the national average,Above the national average,Below the national average
ST JOSEPH MEDICAL CENTER,PA,Acute Care Hospitals,Voluntary non-profit - Church,Yes,2.0,Above the national average,Same as the national average,Below the national average,Below the national average
HOLY REDEEMER HOSPITAL AND MEDICAL CENTER,PA,Acute Care Hospitals,Voluntary non-profit - Church,Yes,3.0,Below the national average,Same as the national average,Same as the national average,Same as the national average
LANCASTER GENERAL HOSPITAL,PA,Acute Care Hospitals,Voluntary non-profit - Other,Yes,4.0,Above the national average,Above the national average,Same as the national average,Same as the national average
MEMORIAL HOSPITAL,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Below the national average,Same as the national average,Below the national average,Below the national average
UPMC ST MARGARET,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0,Above the national average,Above the national average,Same as the national average,Same as the national average
KANE COMMUNITY HOSPITAL,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0,Same as the national average,Same as the national average,Above the national average,Above the national average
UPMC PASSAVANT,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0,Above the national average,Above the national average,Same as the national average,Same as the national average
CONEMAUGH MEMORIAL MEDICAL CENTER,PA,Acute Care Hospitals,Proprietary,Yes,2.0,Below the national average,Above the national average,Above the national average,Same as the national average
HOSPITAL OF UNIV OF PENNSYLVANIA,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0,Below the national average,Same as the national average,Below the national average,Above the national average
WINDBER HOSPITAL,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0,Same as the national average,Same as the national average,Above the national average,Above the national average
MEADVILLE MEDICAL CENTER,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Below the national average,Same as the national average,Same as the national average,Above the national average
MAGEE WOMENS HOSPITAL OF UPMC HEALTH SYSTEM,PA,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3.0,Same as the national average,Above the national average,Same as the national average,Same as the national average
ARIA HEALTH,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Below the national average,Same as the national average,Below the national average,Below the national average
